Form,Tag,InputParadigm,InputClass,OutputParadigm,OutputClass
magad,Der/magad,VAI,VAI_VV,VII,VII_d
oomagad,Der/magad,VAI,VAI_n,VII,VII_d
oomagad,Der/magad,VAI,VAI_m,VII,VII_d
V1magad,Der/magad,VAI,VAI_V,VII,VII_d
magad,Aug/magad,VII,VII_VV,VII,VII_d
V1magad,Aug/magad,VII,VII_V,VII,VII_d
dizo,Reflex/dizo,VTA,VTA_C,VAI,VAI_rfx
idizo,Reflex/dizo,VTA,VTA_n,VAI,VAI_rfx
idizo,Reflex/dizo,VTA,VTA_s,VAI,VAI_rfx
dizo,Reflex/dizo,VTA,VTA_aw,VAI,VAI_rfx
idizo,Reflex/dizo,VTA,VTA_Cw,VAI,VAI_rfx
di,Recip/di,VTA,VTA_C,VAI,VAI_rcp
idi,Recip/di,VTA,VTA_n,VAI,VAI_rcp
idi,Recip/di,VTA,VTA_s,VAI,VAI_rcp
di,Recip/di,VTA,VTA_aw,VAI,VAI_rcp
idi,Recip/di,VTA,VTA_Cw,VAI,VAI_rcp