,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
0,NID,NID_Cy,disy,disy2,1SgPoss,NONE,NONE,NONE,NONE,Pl,nidisiin,n<<disy2>>iin,JDN-2010-Nouns
1,NID,NID_Cy,disy,disy2,ExclPoss,NONE,NONE,NONE,NONE,Pl,nidisiinaanin,n<<disy2>>iinaanin,JDN-2010-Nouns
2,NID,NID_Cy,disy,disy2,InclPoss,NONE,NONE,NONE,NONE,Pl,gidisiinaanin,g<<disy2>>iinaanin,JDN-2010-Nouns
3,NID,NID_Cy,disy,disy2,2SgPoss,NONE,NONE,NONE,NONE,Pl,gidisiin,g<<disy2>>iin,JDN-2010-Nouns
4,NID,NID_Cy,disy,disy2,2PlPoss,NONE,NONE,NONE,NONE,Pl,gidisiiwaan,g<<disy2>>iiwaan,JDN-2010-Nouns
5,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,NONE,NONE,NONE,Pl,odisiin,w<<disy2>>iin,JDN-2010-Nouns
6,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,NONE,NONE,NONE,Pl,odisiiwaan,w<<disy2>>iiwaan,JDN-2010-Nouns
7,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,NONE,NONE,NONE,Pl,odisiini,w<<disy2>>iiniw1,JDN-2010-Nouns
8,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,NONE,NONE,NONE,Pl,odisiini,w<<disy2>>iiniw1,GUESS
9,NID,NID_Cy,disy,disy2,1SgPoss,NONE,NONE,NONE,NONE,Sg,nidis,n<<disy2>>,GUESS
10,NID,NID_Cy,disy,disy2,ExclPoss,NONE,NONE,NONE,NONE,Sg,nidisiinaan,n<<disy2>>iinaan,JDN-2010-Nouns
11,NID,NID_Cy,disy,disy2,InclPoss,NONE,NONE,NONE,NONE,Sg,gidisiinaan,g<<disy2>>iinaan,JDN-2010-Nouns
12,NID,NID_Cy,disy,disy2,2SgPoss,NONE,NONE,NONE,NONE,Sg,gidis,g<<disy2>>,JDN-2010-Nouns
13,NID,NID_Cy,disy,disy2,2PlPoss,NONE,NONE,NONE,NONE,Sg,gidisiiwaa,g<<disy2>>iiwaa,JDN-2010-Nouns
14,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,NONE,NONE,NONE,Sg,odis,w<<disy2>>,JDN-2010-Nouns
15,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,NONE,NONE,NONE,Sg,odisiiwaa,w<<disy2>>iiwaa,JDN-2010-Nouns
16,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,NONE,NONE,NONE,Sg,odisiini,w<<disy2>>iiniw1,JDN-2010-Nouns
17,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,NONE,NONE,NONE,Sg,odisiini,w<<disy2>>iiniw1,GUESS
18,NID,NID_Cy,disy,disy2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nidisiing,n<<disy2>>iing,JDN-2010-Nouns
19,NID,NID_Cy,disy,disy2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nidisiinaang,n<<disy2>>iinaang,JDN-2010-Nouns
20,NID,NID_Cy,disy,disy2,InclPoss,NONE,NONE,NONE,NONE,Loc,gidisiinaang,g<<disy2>>iinaang,JDN-2010-Nouns
21,NID,NID_Cy,disy,disy2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidisiing,g<<disy2>>iing,JDN-2010-Nouns
22,NID,NID_Cy,disy,disy2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidisiiwaang,g<<disy2>>iiwaang,JDN-2010-Nouns
23,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odisiing,w<<disy2>>iing,JDN-2010-Nouns
24,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odisiiwaang,w<<disy2>>iiwaang,JDN-2010-Nouns
25,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odisiining,w<<disy2>>iining,JDN-2010-Nouns
26,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odisiining,w<<disy2>>iining,GUESS
27,NID,NID_Cy,disy,disy2,1SgPoss,NONE,Poss,NONE,NONE,Pl,nidisiiman,n<<disy2>>iiman,JDN-2010-Nouns
28,NID,NID_Cy,disy,disy2,ExclPoss,NONE,Poss,NONE,NONE,Pl,nidisiiminaanin,n<<disy2>>iiminaanin,JDN-2010-Nouns
29,NID,NID_Cy,disy,disy2,InclPoss,NONE,Poss,NONE,NONE,Pl,gidisiiminaanin,g<<disy2>>iiminaanin,JDN-2010-Nouns
30,NID,NID_Cy,disy,disy2,2SgPoss,NONE,Poss,NONE,NONE,Pl,gidisiiman,g<<disy2>>iiman,JDN-2010-Nouns
31,NID,NID_Cy,disy,disy2,2PlPoss,NONE,Poss,NONE,NONE,Pl,gidisiimiwaan,g<<disy2>>iimiwaan,JDN-2010-Nouns
32,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,odisiiman,w<<disy2>>iiman,JDN-2010-Nouns
33,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,odisiimiwaan,w<<disy2>>iimiwaan,JDN-2010-Nouns
34,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,odisiimini,w<<disy2>>iiminiw1,JDN-2010-Nouns
35,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,Poss,NONE,NONE,Pl,odisiimini,w<<disy2>>iiminiw1,GUESS
36,NID,NID_Cy,disy,disy2,1SgPoss,NONE,Poss,NONE,NONE,Sg,nidisiim,n<<disy2>>iim,JDN-2010-Nouns
37,NID,NID_Cy,disy,disy2,ExclPoss,NONE,Poss,NONE,NONE,Sg,nidisiiminaan,n<<disy2>>iiminaan,JDN-2010-Nouns
38,NID,NID_Cy,disy,disy2,InclPoss,NONE,Poss,NONE,NONE,Sg,gidisiiminaan,g<<disy2>>iiminaan,JDN-2010-Nouns
39,NID,NID_Cy,disy,disy2,2SgPoss,NONE,Poss,NONE,NONE,Sg,gidisiim,g<<disy2>>iim,JDN-2010-Nouns
40,NID,NID_Cy,disy,disy2,2PlPoss,NONE,Poss,NONE,NONE,Sg,gidisiimiwaa,g<<disy2>>iimiwaa,JDN-2010-Nouns
41,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,Poss,NONE,NONE,Sg,odisiim,w<<disy2>>iim,JDN-2010-Nouns
42,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,Poss,NONE,NONE,Sg,odisiimiwaa,w<<disy2>>iimiwaa,JDN-2010-Nouns
43,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,Poss,NONE,NONE,Sg,odisiimini,w<<disy2>>iiminiw1,JDN-2010-Nouns
44,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,Poss,NONE,NONE,Sg,odisiimini,w<<disy2>>iiminiw1,GUESS
45,NID,NID_Cy,disy,disy2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nidisiiming,n<<disy2>>iiming,JDN-2010-Nouns
46,NID,NID_Cy,disy,disy2,ExclPoss,NONE,Poss,NONE,NONE,Loc,nidisiiminaang,n<<disy2>>iiminaang,JDN-2010-Nouns
47,NID,NID_Cy,disy,disy2,InclPoss,NONE,Poss,NONE,NONE,Loc,gidisiiminaang,g<<disy2>>iiminaang,JDN-2010-Nouns
48,NID,NID_Cy,disy,disy2,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidisiiming,g<<disy2>>iiming,JDN-2010-Nouns
49,NID,NID_Cy,disy,disy2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidisiimiwaang,g<<disy2>>iimiwaang,JDN-2010-Nouns
50,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odisiiming,w<<disy2>>iiming,JDN-2010-Nouns
51,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odisiimiwaang,w<<disy2>>iimiwaang,JDN-2010-Nouns
52,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odisiimining,w<<disy2>>iimining,JDN-2010-Nouns
53,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odisiimining,w<<disy2>>iimining,GUESS
54,NID,NID_Cy,disy,disy2,1SgPoss,Dim,NONE,NONE,NONE,Pl,nidisiinsan,n<<disy2>>iinsan,JDN-2010-Nouns
55,NID,NID_Cy,disy,disy2,ExclPoss,Dim,NONE,NONE,NONE,Pl,nidisiinsinaanin,n<<disy2>>iinsinaanin,JDN-2010-Nouns
56,NID,NID_Cy,disy,disy2,InclPoss,Dim,NONE,NONE,NONE,Pl,gidisiinsinaanin,g<<disy2>>iinsinaanin,JDN-2010-Nouns
57,NID,NID_Cy,disy,disy2,2SgPoss,Dim,NONE,NONE,NONE,Pl,gidisiinsan,g<<disy2>>iinsan,JDN-2010-Nouns
58,NID,NID_Cy,disy,disy2,2PlPoss,Dim,NONE,NONE,NONE,Pl,gidisiinsiwaan,g<<disy2>>iinsiwaan,JDN-2010-Nouns
59,NID,NID_Cy,disy,disy2,3SgProxPoss,Dim,NONE,NONE,NONE,Pl,odisiinsan,w<<disy2>>iinsan,JDN-2010-Nouns
60,NID,NID_Cy,disy,disy2,3PlProxPoss,Dim,NONE,NONE,NONE,Pl,odisiinsiwaan,w<<disy2>>iinsiwaan,JDN-2010-Nouns
61,NID,NID_Cy,disy,disy2,3SgObvPoss,Dim,NONE,NONE,NONE,Pl,odisiinsini,w<<disy2>>iinsiniw1,JDN-2010-Nouns
62,NID,NID_Cy,disy,disy2,3PlObvPoss,Dim,NONE,NONE,NONE,Pl,odisiinsini,w<<disy2>>iinsiniw1,GUESS
63,NID,NID_Cy,disy,disy2,1SgPoss,Dim,NONE,NONE,NONE,Sg,nidisiins,n<<disy2>>iins,JDN-2010-Nouns
64,NID,NID_Cy,disy,disy2,ExclPoss,Dim,NONE,NONE,NONE,Sg,nidisiinsinaan,n<<disy2>>iinsinaan,JDN-2010-Nouns
65,NID,NID_Cy,disy,disy2,InclPoss,Dim,NONE,NONE,NONE,Sg,gidisiinsinaan,g<<disy2>>iinsinaan,JDN-2010-Nouns
66,NID,NID_Cy,disy,disy2,2SgPoss,Dim,NONE,NONE,NONE,Sg,gidisiins,g<<disy2>>iins,JDN-2010-Nouns
67,NID,NID_Cy,disy,disy2,2PlPoss,Dim,NONE,NONE,NONE,Sg,gidisiinsiwaa,g<<disy2>>iinsiwaa,JDN-2010-Nouns
68,NID,NID_Cy,disy,disy2,3SgProxPoss,Dim,NONE,NONE,NONE,Sg,odisiins,w<<disy2>>iins,JDN-2010-Nouns
69,NID,NID_Cy,disy,disy2,3PlProxPoss,Dim,NONE,NONE,NONE,Sg,odisiinsiwaa,w<<disy2>>iinsiwaa,JDN-2010-Nouns
70,NID,NID_Cy,disy,disy2,3SgObvPoss,Dim,NONE,NONE,NONE,Sg,odisiinsini,w<<disy2>>iinsiniw1,JDN-2010-Nouns
71,NID,NID_Cy,disy,disy2,3PlObvPoss,Dim,NONE,NONE,NONE,Sg,odisiinsini,w<<disy2>>iinsiniw1,GUESS
72,NID,NID_Cy,disy,disy2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nidisiinsing,n<<disy2>>iinsing,JDN-2010-Nouns
73,NID,NID_Cy,disy,disy2,ExclPoss,Dim,NONE,NONE,NONE,Loc,nidisiinsinaang,n<<disy2>>iinsinaang,JDN-2010-Nouns
74,NID,NID_Cy,disy,disy2,InclPoss,Dim,NONE,NONE,NONE,Loc,gidisiinsinaang,g<<disy2>>iinsinaang,JDN-2010-Nouns
75,NID,NID_Cy,disy,disy2,2SgPoss,Dim,NONE,NONE,NONE,Loc,gidisiinsing,g<<disy2>>iinsing,JDN-2010-Nouns
76,NID,NID_Cy,disy,disy2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gidisiinsiwaang,g<<disy2>>iinsiwaang,JDN-2010-Nouns
77,NID,NID_Cy,disy,disy2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,odisiinsing,w<<disy2>>iinsing,JDN-2010-Nouns
78,NID,NID_Cy,disy,disy2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,odisiinsiwaang,w<<disy2>>iinsiwaang,JDN-2010-Nouns
79,NID,NID_Cy,disy,disy2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,odisiinsining,w<<disy2>>iinsining,JDN-2010-Nouns
80,NID,NID_Cy,disy,disy2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,odisiinsining,w<<disy2>>iinsining,GUESS
81,NID,NID_Cy,disy,disy2,1SgPoss,Dim,Poss,NONE,NONE,Pl,nidisiinsiman,n<<disy2>>iinsiman,JDN-2010-Nouns
82,NID,NID_Cy,disy,disy2,ExclPoss,Dim,Poss,NONE,NONE,Pl,nidisiinsiminaanin,n<<disy2>>iinsiminaanin,JDN-2010-Nouns
83,NID,NID_Cy,disy,disy2,InclPoss,Dim,Poss,NONE,NONE,Pl,gidisiinsiminaanin,g<<disy2>>iinsiminaanin,JDN-2010-Nouns
84,NID,NID_Cy,disy,disy2,2SgPoss,Dim,Poss,NONE,NONE,Pl,gidisiinsiman,g<<disy2>>iinsiman,JDN-2010-Nouns
85,NID,NID_Cy,disy,disy2,2PlPoss,Dim,Poss,NONE,NONE,Pl,gidisiinsimiwaan,g<<disy2>>iinsimiwaan,JDN-2010-Nouns
86,NID,NID_Cy,disy,disy2,3SgProxPoss,Dim,Poss,NONE,NONE,Pl,odisiinsiman,w<<disy2>>iinsiman,JDN-2010-Nouns
87,NID,NID_Cy,disy,disy2,3PlProxPoss,Dim,Poss,NONE,NONE,Pl,odisiinsimiwaan,w<<disy2>>iinsimiwaan,JDN-2010-Nouns
88,NID,NID_Cy,disy,disy2,3SgObvPoss,Dim,Poss,NONE,NONE,Pl,odisiinsimini,w<<disy2>>iinsiminiw1,JDN-2010-Nouns
89,NID,NID_Cy,disy,disy2,3PlObvPoss,Dim,Poss,NONE,NONE,Pl,odisiinsimini,w<<disy2>>iinsiminiw1,GUESS
90,NID,NID_Cy,disy,disy2,1SgPoss,Dim,Poss,NONE,NONE,Sg,nidisiinsim,n<<disy2>>iinsim,JDN-2010-Nouns
91,NID,NID_Cy,disy,disy2,ExclPoss,Dim,Poss,NONE,NONE,Sg,nidisiinsiminaan,n<<disy2>>iinsiminaan,JDN-2010-Nouns
92,NID,NID_Cy,disy,disy2,InclPoss,Dim,Poss,NONE,NONE,Sg,gidisiinsiminaan,g<<disy2>>iinsiminaan,JDN-2010-Nouns
93,NID,NID_Cy,disy,disy2,2SgPoss,Dim,Poss,NONE,NONE,Sg,gidisiinsim,g<<disy2>>iinsim,JDN-2010-Nouns
94,NID,NID_Cy,disy,disy2,2PlPoss,Dim,Poss,NONE,NONE,Sg,gidisiinsimiwaa,g<<disy2>>iinsimiwaa,JDN-2010-Nouns
95,NID,NID_Cy,disy,disy2,3SgProxPoss,Dim,Poss,NONE,NONE,Sg,odisiinsim,w<<disy2>>iinsim,JDN-2010-Nouns
96,NID,NID_Cy,disy,disy2,3PlProxPoss,Dim,Poss,NONE,NONE,Sg,odisiinsimiwaa,w<<disy2>>iinsimiwaa,JDN-2010-Nouns
97,NID,NID_Cy,disy,disy2,3SgObvPoss,Dim,Poss,NONE,NONE,Sg,odisiinsimini,w<<disy2>>iinsiminiw1,JDN-2010-Nouns
98,NID,NID_Cy,disy,disy2,3PlObvPoss,Dim,Poss,NONE,NONE,Sg,odisiinsimini,w<<disy2>>iinsiminiw1,GUESS
99,NID,NID_Cy,disy,disy2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nidisiinsiming,n<<disy2>>iinsiming,JDN-2010-Nouns
100,NID,NID_Cy,disy,disy2,ExclPoss,Dim,Poss,NONE,NONE,Loc,nidisiinsiminaang,n<<disy2>>iinsiminaang,JDN-2010-Nouns
101,NID,NID_Cy,disy,disy2,InclPoss,Dim,Poss,NONE,NONE,Loc,gidisiinsiminaang,g<<disy2>>iinsiminaang,JDN-2010-Nouns
102,NID,NID_Cy,disy,disy2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gidisiinsiming,g<<disy2>>iinsiming,JDN-2010-Nouns
103,NID,NID_Cy,disy,disy2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gidisiinsimiwaang,g<<disy2>>iinsimiwaang,JDN-2010-Nouns
104,NID,NID_Cy,disy,disy2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,odisiinsiming,w<<disy2>>iinsiming,JDN-2010-Nouns
105,NID,NID_Cy,disy,disy2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,odisiinsimiwaang,w<<disy2>>iinsimiwaang,JDN-2010-Nouns
106,NID,NID_Cy,disy,disy2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,odisiinsimining,w<<disy2>>iinsimining,JDN-2010-Nouns
107,NID,NID_Cy,disy,disy2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,odisiinsimining,w<<disy2>>iinsimining,GUESS
108,NID,NID_Cy,disy,disy2,1SgPoss,NONE,NONE,Pej,NONE,Pl,nidisiishan,n<<disy2>>iishan,JDN-2010-Nouns
109,NID,NID_Cy,disy,disy2,ExclPoss,NONE,NONE,Pej,NONE,Pl,nidisiishinaanin,n<<disy2>>iishinaanin,JDN-2010-Nouns
110,NID,NID_Cy,disy,disy2,InclPoss,NONE,NONE,Pej,NONE,Pl,gidisiishinaanin,g<<disy2>>iishinaanin,JDN-2010-Nouns
111,NID,NID_Cy,disy,disy2,2SgPoss,NONE,NONE,Pej,NONE,Pl,gidisiishan,g<<disy2>>iishan,JDN-2010-Nouns
112,NID,NID_Cy,disy,disy2,2PlPoss,NONE,NONE,Pej,NONE,Pl,gidisiishiwaan,g<<disy2>>iishiwaan,JDN-2010-Nouns
113,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,NONE,Pej,NONE,Pl,odisiishan,w<<disy2>>iishan,JDN-2010-Nouns
114,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,NONE,Pej,NONE,Pl,odisiishiwaan,w<<disy2>>iishiwaan,JDN-2010-Nouns
115,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,NONE,Pej,NONE,Pl,odisiishini,w<<disy2>>iishiniw1,JDN-2010-Nouns
116,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,NONE,Pej,NONE,Pl,odisiishini,w<<disy2>>iishiniw1,GUESS
117,NID,NID_Cy,disy,disy2,1SgPoss,NONE,NONE,Pej,NONE,Sg,nidisiish,n<<disy2>>iish,JDN-2010-Nouns
118,NID,NID_Cy,disy,disy2,ExclPoss,NONE,NONE,Pej,NONE,Sg,nidisiishinaan,n<<disy2>>iishinaan,JDN-2010-Nouns
119,NID,NID_Cy,disy,disy2,InclPoss,NONE,NONE,Pej,NONE,Sg,gidisiishinaan,g<<disy2>>iishinaan,JDN-2010-Nouns
120,NID,NID_Cy,disy,disy2,2SgPoss,NONE,NONE,Pej,NONE,Sg,gidisiish,g<<disy2>>iish,JDN-2010-Nouns
121,NID,NID_Cy,disy,disy2,2PlPoss,NONE,NONE,Pej,NONE,Sg,gidisiishiwaa,g<<disy2>>iishiwaa,JDN-2010-Nouns
122,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,NONE,Pej,NONE,Sg,odisiish,w<<disy2>>iish,JDN-2010-Nouns
123,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,NONE,Pej,NONE,Sg,odisiishiwaa,w<<disy2>>iishiwaa,JDN-2010-Nouns
124,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,NONE,Pej,NONE,Sg,odisiishini,w<<disy2>>iishiniw1,JDN-2010-Nouns
125,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,NONE,Pej,NONE,Sg,odisiishini,w<<disy2>>iishiniw1,GUESS
126,NID,NID_Cy,disy,disy2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nidisiishing,n<<disy2>>iishing,JDN-2010-Nouns
127,NID,NID_Cy,disy,disy2,ExclPoss,NONE,NONE,Pej,NONE,Loc,nidisiishinaang,n<<disy2>>iishinaang,JDN-2010-Nouns
128,NID,NID_Cy,disy,disy2,InclPoss,NONE,NONE,Pej,NONE,Loc,gidisiishinaang,g<<disy2>>iishinaang,JDN-2010-Nouns
129,NID,NID_Cy,disy,disy2,2SgPoss,NONE,NONE,Pej,NONE,Loc,gidisiishing,g<<disy2>>iishing,JDN-2010-Nouns
130,NID,NID_Cy,disy,disy2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gidisiishiwaang,g<<disy2>>iishiwaang,JDN-2010-Nouns
131,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,odisiishing,w<<disy2>>iishing,JDN-2010-Nouns
132,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,odisiishiwaang,w<<disy2>>iishiwaang,JDN-2010-Nouns
133,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,odisiishining,w<<disy2>>iishining,JDN-2010-Nouns
134,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,odisiishining,w<<disy2>>iishining,GUESS
135,NID,NID_Cy,disy,disy2,1SgPoss,NONE,Poss,Pej,NONE,Pl,nidisiimishan,n<<disy2>>iimishan,JDN-2010-Nouns
136,NID,NID_Cy,disy,disy2,ExclPoss,NONE,Poss,Pej,NONE,Pl,nidisiimishinaanin,n<<disy2>>iimishinaanin,JDN-2010-Nouns
137,NID,NID_Cy,disy,disy2,InclPoss,NONE,Poss,Pej,NONE,Pl,gidisiimishinaanin,g<<disy2>>iimishinaanin,JDN-2010-Nouns
138,NID,NID_Cy,disy,disy2,2SgPoss,NONE,Poss,Pej,NONE,Pl,gidisiimishan,g<<disy2>>iimishan,JDN-2010-Nouns
139,NID,NID_Cy,disy,disy2,2PlPoss,NONE,Poss,Pej,NONE,Pl,gidisiimishiwaan,g<<disy2>>iimishiwaan,JDN-2010-Nouns
140,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,Poss,Pej,NONE,Pl,odisiimishan,w<<disy2>>iimishan,JDN-2010-Nouns
141,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,Poss,Pej,NONE,Pl,odisiimishiwaan,w<<disy2>>iimishiwaan,JDN-2010-Nouns
142,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,Poss,Pej,NONE,Pl,odisiimishini,w<<disy2>>iimishiniw1,JDN-2010-Nouns
143,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,Poss,Pej,NONE,Pl,odisiimishini,w<<disy2>>iimishiniw1,GUESS
144,NID,NID_Cy,disy,disy2,1SgPoss,NONE,Poss,Pej,NONE,Sg,nidisiimish,n<<disy2>>iimish,JDN-2010-Nouns
145,NID,NID_Cy,disy,disy2,ExclPoss,NONE,Poss,Pej,NONE,Sg,nidisiimishinaan,n<<disy2>>iimishinaan,JDN-2010-Nouns
146,NID,NID_Cy,disy,disy2,InclPoss,NONE,Poss,Pej,NONE,Sg,gidisiimishinaan,g<<disy2>>iimishinaan,JDN-2010-Nouns
147,NID,NID_Cy,disy,disy2,2SgPoss,NONE,Poss,Pej,NONE,Sg,gidisiimish,g<<disy2>>iimish,JDN-2010-Nouns
