Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,1Sg,NA,Neu,Pos,nimaajiibatoo,ni<<maajiibatoo>>,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Pl,NA,Neu,Pos,gimaajiibatoom,gi<<maajiibatoo>>m,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Sg,NA,Neu,Pos,gimaajiibatoo,gi<<maajiibatoo>>,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlObv,NA,Neu,Pos,maajiibatoowa',<<maajiibatoo>>wa',GUESS,maajiibatoowan,<<maajiibatoo>>wan,JDN-2010-MS-VAI-p7,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlProx,NA,Neu,Pos,maajiibatoowag,<<maajiibatoo>>wag,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgObv,NA,Neu,Pos,maajiibatoowan,<<maajiibatoo>>wan,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgProx,NA,Neu,Pos,maajiibatoo,<<maajiibatoo>>w,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Excl,NA,Neu,Pos,nimaajiibatoomin,ni<<maajiibatoo>>min,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Incl,NA,Neu,Pos,gimaajiibatoomin,gi<<maajiibatoo>>min,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,X,NA,Neu,Pos,maajiibatoom,<<maajiibatoo>>m,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,1Sg,NA,Neu,Neg,nimaajiibatoosii,ni<<maajiibatoo>>sii,JDN-2010-MS-VAI-p8,nimaajiibatoosiin,ni<<maajiibatoo>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Pl,NA,Neu,Neg,gimaajiibatoosiim,gi<<maajiibatoo>>siim,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Sg,NA,Neu,Neg,gimaajiibatoosii,gi<<maajiibatoo>>sii,JDN-2010-MS-VAI-p8,gimaajiibatoosiin,gi<<maajiibatoo>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlObv,NA,Neu,Neg,maajiibatoosiiwa',<<maajiibatoo>>siiwa',GUESS,maajiibatoosiiwan,<<maajiibatoo>>siiwan,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlProx,NA,Neu,Neg,maajiibatoosiiwag,<<maajiibatoo>>siiwag,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgObv,NA,Neu,Neg,maajiibatoosiiwan,<<maajiibatoo>>siiwan,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgProx,NA,Neu,Neg,maajiibatoosii,<<maajiibatoo>>sii,JDN-2010-MS-VAI-p8,maajiibatoosiin,<<maajiibatoo>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Excl,NA,Neu,Neg,nimaajiibatoosiimin,ni<<maajiibatoo>>siimin,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Incl,NA,Neu,Neg,gimaajiibatoosiimin,gi<<maajiibatoo>>siimin,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,X,NA,Neu,Neg,maajiibatoosiim,<<maajiibatoo>>siim,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,1Sg,NA,Prt,Pos,nimaajiibatoonaaban,ni<<maajiibatoo>>naaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Pl,NA,Prt,Pos,gimaajiibatoomwaaban,gi<<maajiibatoo>>mwaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Sg,NA,Prt,Pos,gimaajiibatoonaaban,gi<<maajiibatoo>>naaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlObv,NA,Prt,Pos,maajiibatoobanii',<<maajiibatoo>>banii',GUESS,maajiibatoobaniin,<<maajiibatoo>>baniin,JDN-2010-MS-VAI-p11,maajiibatoobanen,<<maajiibatoo>>banen,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlProx,NA,Prt,Pos,maajiibatoobaniig,<<maajiibatoo>>baniig,JDN-2010-MS-VAI-p11,,,,maajiibatoobaneg,<<maajiibatoo>>baneg,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgObv,NA,Prt,Pos,maajiibatoobaniin,<<maajiibatoo>>baniin,JDN-2010-MS-VAI-p11,,,,maajiibatoobanen,<<maajiibatoo>>banen,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgProx,NA,Prt,Pos,maajiibatooban,<<maajiibatoo>>ban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Excl,NA,Prt,Pos,nimaajiibatoominaaban,ni<<maajiibatoo>>minaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Incl,NA,Prt,Pos,gimaajiibatoominaaban,gi<<maajiibatoo>>minaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,X,NA,Prt,Pos,maajiibatoomwaaban,<<maajiibatoo>>mwaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,1Sg,NA,Prt,Neg,nimaajiibatoosiinaaban,ni<<maajiibatoo>>siinaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Pl,NA,Prt,Neg,gimaajiibatoosiimwaaban,gi<<maajiibatoo>>siimwaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Sg,NA,Prt,Neg,gimaajiibatoosiinaaban,gi<<maajiibatoo>>siinaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlObv,NA,Prt,Neg,maajiibatoosiibanii',<<maajiibatoo>>siibanii',GUESS,maajiibatoosiibaniin,<<maajiibatoo>>siibaniin,JDN-2010-MS-VAI-p12,maajiibatoosiibanen,<<maajiibatoo>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlProx,NA,Prt,Neg,maajiibatoosiibaniig,<<maajiibatoo>>siibaniig,JDN-2010-MS-VAI-p12,,,,maajiibatoosiibaneg,<<maajiibatoo>>siibaneg,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgObv,NA,Prt,Neg,maajiibatoosiibaniin,<<maajiibatoo>>siibaniin,JDN-2010-MS-VAI-p12,,,,maajiibatoosiibanen,<<maajiibatoo>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgProx,NA,Prt,Neg,maajiibatoosiiban,<<maajiibatoo>>siiban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Excl,NA,Prt,Neg,nimaajiibatoosiiminaaban,ni<<maajiibatoo>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Incl,NA,Prt,Neg,gimaajiibatoosiiminaaban,gi<<maajiibatoo>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,X,NA,Prt,Neg,maajiibatoosiimwaaban,<<maajiibatoo>>siimwaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,1Sg,NA,Dub,Pos,nimaajiibatoonaadog,ni<<maajiibatoo>>naadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Pl,NA,Dub,Pos,gimaajiibatoomwaadog,gi<<maajiibatoo>>mwaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Sg,NA,Dub,Pos,gimaajiibatoonaadog,gi<<maajiibatoo>>naadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlObv,NA,Dub,Pos,maajiibatoodogena',<<maajiibatoo>>dogena',GUESS,maajiibatoodogenan,<<maajiibatoo>>dogenan,JDN-2010-MS-VAI-p15,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlProx,NA,Dub,Pos,maajiibatoodogenag,<<maajiibatoo>>dogenag,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgObv,NA,Dub,Pos,maajiibatoodogenan,<<maajiibatoo>>dogenan,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgProx,NA,Dub,Pos,maajiibatoodog,<<maajiibatoo>>dog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Excl,NA,Dub,Pos,nimaajiibatoominaadog,ni<<maajiibatoo>>minaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Incl,NA,Dub,Pos,gimaajiibatoominaadog,gi<<maajiibatoo>>minaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,X,NA,Dub,Pos,maajiibatoomwaadog,<<maajiibatoo>>mwaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,1Sg,NA,Dub,Neg,nimaajiibatoosiinaadog,ni<<maajiibatoo>>siinaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Pl,NA,Dub,Neg,gimaajiibatoosiimwaadog,gi<<maajiibatoo>>siimwaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Sg,NA,Dub,Neg,gimaajiibatoosiinaadog,gi<<maajiibatoo>>siinaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlObv,NA,Dub,Neg,maajiibatoosiidogena',<<maajiibatoo>>siidogena',GUESS,maajiibatoosiidogenan,<<maajiibatoo>>siidogenan,JDN-2010-MS-VAI-p16,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlProx,NA,Dub,Neg,maajiibatoosiidogenag,<<maajiibatoo>>siidogenag,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgObv,NA,Dub,Neg,maajiibatoosiidogenan,<<maajiibatoo>>siidogenan,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgProx,NA,Dub,Neg,maajiibatoosiidog,<<maajiibatoo>>siidog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Excl,NA,Dub,Neg,nimaajiibatoosiiminaadog,ni<<maajiibatoo>>siiminaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Incl,NA,Dub,Neg,gimaajiibatoosiiminaadog,gi<<maajiibatoo>>siiminaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,X,NA,Dub,Neg,maajiibatoosiimwaadog,<<maajiibatoo>>siimwaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,1Sg,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Pl,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Sg,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlObv,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlProx,NA,DubPrt,Pos,maajiibatoogwaaban,<<maajiibatoo>>gwaaban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgObv,NA,DubPrt,Pos,maajiibatoonigoban,<<maajiibatoo>>nigoban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgProx,NA,DubPrt,Pos,maajiibatoogoban,<<maajiibatoo>>goban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Excl,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Incl,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,X,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,1Sg,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Pl,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,2Sg,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlObv,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3PlProx,NA,DubPrt,Neg,maajiibatoosiigwaaban,<<maajiibatoo>>siigwaaban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgObv,NA,DubPrt,Neg,maajiibatoosiinigoban,<<maajiibatoo>>siinigoban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,3SgProx,NA,DubPrt,Neg,maajiibatoosiigoban,<<maajiibatoo>>siigoban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Excl,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,Incl,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,maajiibatoo,maajiibatoo,X,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,1Sg,NA,Neu,Pos,nimadaabii,ni<<madaabii>>,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Pl,NA,Neu,Pos,gimadaabiim,gi<<madaabii>>m,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Sg,NA,Neu,Pos,gimadaabii,gi<<madaabii>>,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3PlObv,NA,Neu,Pos,madaabiiwa',<<madaabii>>wa',GUESS,madaabiiwan,<<madaabii>>wan,JDN-2010-MS-VAI-p7,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3PlProx,NA,Neu,Pos,madaabiiwag,<<madaabii>>wag,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3SgObv,NA,Neu,Pos,madaabiiwan,<<madaabii>>wan,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3SgProx,NA,Neu,Pos,madaabii,<<madaabii>>w,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Excl,NA,Neu,Pos,nimadaabiimin,ni<<madaabii>>min,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Incl,NA,Neu,Pos,gimadaabiimin,gi<<madaabii>>min,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,X,NA,Neu,Pos,madaabiim,<<madaabii>>m,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,1Sg,NA,Neu,Neg,nimadaabiisii,ni<<madaabii>>sii,JDN-2010-MS-VAI-p8,nimadaabiisiin,ni<<madaabii>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Pl,NA,Neu,Neg,gimadaabiisiim,gi<<madaabii>>siim,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Sg,NA,Neu,Neg,gimadaabiisii,gi<<madaabii>>sii,JDN-2010-MS-VAI-p8,gimadaabiisiin,gi<<madaabii>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3PlObv,NA,Neu,Neg,madaabiisiiwa',<<madaabii>>siiwa',GUESS,madaabiisiiwan,<<madaabii>>siiwan,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3PlProx,NA,Neu,Neg,madaabiisiiwag,<<madaabii>>siiwag,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3SgObv,NA,Neu,Neg,madaabiisiiwan,<<madaabii>>siiwan,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3SgProx,NA,Neu,Neg,madaabiisii,<<madaabii>>sii,JDN-2010-MS-VAI-p8,madaabiisiin,<<madaabii>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Excl,NA,Neu,Neg,nimadaabiisiimin,ni<<madaabii>>siimin,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Incl,NA,Neu,Neg,gimadaabiisiimin,gi<<madaabii>>siimin,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,X,NA,Neu,Neg,madaabiisiim,<<madaabii>>siim,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,1Sg,NA,Prt,Pos,nimadaabiinaaban,ni<<madaabii>>naaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Pl,NA,Prt,Pos,gimadaabiimwaaban,gi<<madaabii>>mwaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Sg,NA,Prt,Pos,gimadaabiinaaban,gi<<madaabii>>naaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3PlObv,NA,Prt,Pos,madaabiibanii',<<madaabii>>banii',GUESS,madaabiibaniin,<<madaabii>>baniin,JDN-2010-MS-VAI-p11,madaabiibanen,<<madaabii>>banen,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_VV,madaabii,madaabii,3PlProx,NA,Prt,Pos,madaabiibaniig,<<madaabii>>baniig,JDN-2010-MS-VAI-p11,,,,madaabiibaneg,<<madaabii>>baneg,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_VV,madaabii,madaabii,3SgObv,NA,Prt,Pos,madaabiibaniin,<<madaabii>>baniin,JDN-2010-MS-VAI-p11,,,,madaabiibanen,<<madaabii>>banen,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_VV,madaabii,madaabii,3SgProx,NA,Prt,Pos,madaabiiban,<<madaabii>>ban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Excl,NA,Prt,Pos,nimadaabiiminaaban,ni<<madaabii>>minaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Incl,NA,Prt,Pos,gimadaabiiminaaban,gi<<madaabii>>minaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,X,NA,Prt,Pos,madaabiimwaaban,<<madaabii>>mwaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,1Sg,NA,Prt,Neg,nimadaabiisiinaaban,ni<<madaabii>>siinaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Pl,NA,Prt,Neg,gimadaabiisiimwaaban,gi<<madaabii>>siimwaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Sg,NA,Prt,Neg,gimadaabiisiinaaban,gi<<madaabii>>siinaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3PlObv,NA,Prt,Neg,madaabiisiibanii',<<madaabii>>siibanii',GUESS,madaabiisiibaniin,<<madaabii>>siibaniin,JDN-2010-MS-VAI-p12,madaabiisiibanen,<<madaabii>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_VV,madaabii,madaabii,3PlProx,NA,Prt,Neg,madaabiisiibaniig,<<madaabii>>siibaniig,JDN-2010-MS-VAI-p12,,,,madaabiisiibaneg,<<madaabii>>siibaneg,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_VV,madaabii,madaabii,3SgObv,NA,Prt,Neg,madaabiisiibaniin,<<madaabii>>siibaniin,JDN-2010-MS-VAI-p12,,,,madaabiisiibanen,<<madaabii>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_VV,madaabii,madaabii,3SgProx,NA,Prt,Neg,madaabiisiiban,<<madaabii>>siiban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Excl,NA,Prt,Neg,nimadaabiisiiminaaban,ni<<madaabii>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Incl,NA,Prt,Neg,gimadaabiisiiminaaban,gi<<madaabii>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,X,NA,Prt,Neg,madaabiisiimwaaban,<<madaabii>>siimwaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,1Sg,NA,Dub,Pos,nimadaabiinaadog,ni<<madaabii>>naadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Pl,NA,Dub,Pos,gimadaabiimwaadog,gi<<madaabii>>mwaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,2Sg,NA,Dub,Pos,gimadaabiinaadog,gi<<madaabii>>naadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3PlObv,NA,Dub,Pos,madaabiidogena',<<madaabii>>dogena',GUESS,madaabiidogenan,<<madaabii>>dogenan,JDN-2010-MS-VAI-p15,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3PlProx,NA,Dub,Pos,madaabiidogenag,<<madaabii>>dogenag,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3SgObv,NA,Dub,Pos,madaabiidogenan,<<madaabii>>dogenan,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,3SgProx,NA,Dub,Pos,madaabiidog,<<madaabii>>dog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Excl,NA,Dub,Pos,nimadaabiiminaadog,ni<<madaabii>>minaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,Incl,NA,Dub,Pos,gimadaabiiminaadog,gi<<madaabii>>minaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,X,NA,Dub,Pos,madaabiimwaadog,<<madaabii>>mwaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_VV,madaabii,madaabii,1Sg,NA,Dub,Neg,nimadaabiisiinaadog,ni<<madaabii>>siinaadog,JDN-2010-MS-VAI-p16,,,,,,
