Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source
VII,Cnj,VII_VV,ate,ate,0SgObv/0PlObv,NA,Neu,Pos,atenig,<<ate>>nig,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,ate,ate,0SgProx/0PlProx,NA,Neu,Pos,ateg,<<ate>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,ate,ate,0SgObv/0PlObv,NA,Neu,Neg,atesininig,<<ate>>sininig,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,ate,ate,0SgProx/0PlProx,NA,Neu,Neg,atesinog,<<ate>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,ate,ate,0SgObv/0PlObv,NA,Prt,Pos,atenigiban,<<ate>>nigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,ate,ate,0SgProx/0PlProx,NA,Prt,Pos,ategiban,<<ate>>giban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,ate,ate,0SgObv/0PlObv,NA,Prt,Neg,atesininigiban,<<ate>>sininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,ate,ate,0SgProx/0PlProx,NA,Prt,Neg,atesinoogiban,<<ate>>sinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,ate,ate,0SgObv/0PlObv,NA,Dub,Pos,atenigwen,<<ate>>nigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,ate,ate,0SgProx/0PlProx,NA,Dub,Pos,ategwen,<<ate>>gwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,ate,ate,0SgObv/0PlObv,NA,Dub,Neg,MISSING,,
VII,Cnj,VII_VV,ate,ate,0SgProx/0PlProx,NA,Dub,Neg,MISSING,,
VII,Cnj,VII_VV,ate,ate,0SgObv/0PlObv,NA,DubPrt,Pos,atenigobanen,<<ate>>nigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,ate,ate,0SgProx/0PlProx,NA,DubPrt,Pos,ategobanen,<<ate>>gobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,ate,ate,0SgObv/0PlObv,NA,DubPrt,Neg,atesininigobanen,<<ate>>sininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_VV,ate,ate,0SgProx/0PlProx,NA,DubPrt,Neg,atesinoogobanen,<<ate>>sinoogobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_d,atemagad,atemagad,0SgObv/0PlObv,NA,Neu,Pos,atemagadinig,<<atemagad>>inig,JDN-2010-MS-VII-p14
VII,Cnj,VII_d,atemagad,atemagad,0SgProx/0PlProx,NA,Neu,Pos,atemagak,<<atemaga>>k,JDN-2010-MS-VII-p14
VII,Cnj,VII_d,atemagad,atemagad,0SgObv/0PlObv,NA,Neu,Neg,atemagasininig,<<atemaga>>sininig,JDN-2010-MS-VII-p15
VII,Cnj,VII_d,atemagad,atemagad,0SgProx/0PlProx,NA,Neu,Neg,atemagasinog,<<atemaga>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_d,atemagad,atemagad,0SgObv/0PlObv,NA,Prt,Pos,atemagadinigiban,<<atemagad>>inigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_d,atemagad,atemagad,0SgProx/0PlProx,NA,Prt,Pos,atemagakiban,<<atemaga>>kiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_d,atemagad,atemagad,0SgObv/0PlObv,NA,Prt,Neg,atemagasininigiban,<<atemaga>>sininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_d,atemagad,atemagad,0SgProx/0PlProx,NA,Prt,Neg,atemagasinoogiban,<<atemaga>>sinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_d,atemagad,atemagad,0SgObv/0PlObv,NA,Dub,Pos,atemagadinigwen,<<atemagad>>inigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_d,atemagad,atemagad,0SgProx/0PlProx,NA,Dub,Pos,atemagadogwen,<<atemagad>>ogwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_d,atemagad,atemagad,0SgObv/0PlObv,NA,Dub,Neg,atemagasininiigwen,<<atemaga>>sininiigwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_d,atemagad,atemagad,0SgProx/0PlProx,NA,Dub,Neg,atemagasinoogwen,<<atemaga>>sinoogwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_d,atemagad,atemagad,0SgObv/0PlObv,NA,DubPrt,Pos,atemagadinigobanen,<<atemagad>>inigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_d,atemagad,atemagad,0SgProx/0PlProx,NA,DubPrt,Pos,atemagadogobanen,<<atemagad>>ogobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_d,atemagad,atemagad,0SgObv/0PlObv,NA,DubPrt,Neg,atemagasininigobanen,<<atemaga>>sininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_d,atemagad,atemagad,0SgProx/0PlProx,NA,DubPrt,Neg,atemagasinoogobanen,<<atemaga>>sinoogobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_n,bangisin,bangisin,0SgObv/0PlObv,NA,Neu,Pos,bangisininig,<<bangisin>>inig,JDN-2010-MS-VII-p14
VII,Cnj,VII_n,bangisin,bangisin,0SgProx/0PlProx,NA,Neu,Pos,bangising,<<bangisin>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_n,bangisin,bangisin,0SgObv/0PlObv,NA,Neu,Neg,bangisinzininig,<<bangisin>>zininig,JDN-2010-MS-VII-p15
VII,Cnj,VII_n,bangisin,bangisin,0SgProx/0PlProx,NA,Neu,Neg,bangisinzinog,<<bangisin>>zinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_n,bangisin,bangisin,0SgObv/0PlObv,NA,Prt,Pos,bangisininigiban,<<bangisin>>inigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_n,bangisin,bangisin,0SgProx/0PlProx,NA,Prt,Pos,bangisingiban,<<bangisin>>giban,JDN-2010-MS-VII-p16
VII,Cnj,VII_n,bangisin,bangisin,0SgObv/0PlObv,NA,Prt,Neg,bangisinzininigiban,<<bangisin>>zininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_n,bangisin,bangisin,0SgProx/0PlProx,NA,Prt,Neg,bangisinzinoogiban,<<bangisin>>zinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_n,bangisin,bangisin,0SgObv/0PlObv,NA,Dub,Pos,bangisininigwen,<<bangisin>>inigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_n,bangisin,bangisin,0SgProx/0PlProx,NA,Dub,Pos,bangisinogwen,<<bangisin>>ogwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_n,bangisin,bangisin,0SgObv/0PlObv,NA,Dub,Neg,bangisinzininiigwen,<<bangisin>>zininiigwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_n,bangisin,bangisin,0SgProx/0PlProx,NA,Dub,Neg,bangisinzinoogwen,<<bangisin>>zinoogwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_n,bangisin,bangisin,0SgObv/0PlObv,NA,DubPrt,Pos,bangisininigobanen,<<bangisin>>inigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_n,bangisin,bangisin,0SgProx/0PlProx,NA,DubPrt,Pos,bangisinogobanen,<<bangisin>>ogobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_n,bangisin,bangisin,0SgObv/0PlObv,NA,DubPrt,Neg,bangisinzininigobanen,<<bangisin>>zininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_n,bangisin,bangisin,0SgProx/0PlProx,NA,DubPrt,Neg,bangisinzinoogobanen,<<bangisin>>zinoogobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,Neu,Pos,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,Neu,Pos,dakaagamig,<<dakaagami>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,Neu,Neg,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,Neu,Neg,dakaagamisinog,<<dakaagami>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,Prt,Pos,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,Prt,Pos,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,Prt,Neg,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,Prt,Neg,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,Dub,Pos,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,Dub,Pos,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,Dub,Neg,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,Dub,Neg,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,DubPrt,Pos,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,DubPrt,Pos,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,DubPrt,Neg,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,DubPrt,Neg,MISSING,,
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Neu,Pos,gonzaabiinig,<<gonzaabii>>nig,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Neu,Pos,gonzaabiig,<<gonzaabii>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Neu,Neg,gonzaabiisininig,<<gonzaabii>>sininig,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Neu,Neg,gonzaabiisinog,<<gonzaabii>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Prt,Pos,gonzaabiinigiban,<<gonzaabii>>nigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Prt,Pos,gonzaabiigiban,<<gonzaabii>>giban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Prt,Neg,gonzaabiisininigiban,<<gonzaabii>>sininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Prt,Neg,gonzaabiisinoogiban,<<gonzaabii>>sinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Dub,Pos,gonzaabiinigwen,<<gonzaabii>>nigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Dub,Pos,gonzaabiigwen,<<gonzaabii>>gwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Dub,Neg,gonzaabiisininiigwen,<<gonzaabii>>sininiigwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Dub,Neg,gonzaabiisinoogwen,<<gonzaabii>>sinoogwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,DubPrt,Pos,gonzaabiinigobanen,<<gonzaabii>>nigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,DubPrt,Pos,gonzaabiigobanen,<<gonzaabii>>gobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,DubPrt,Neg,gonzaabiisininigobanen,<<gonzaabii>>sininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,DubPrt,Neg,gonzaabiisinoogobanen,<<gonzaabii>>sinoogobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Neu,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Neu,Pos,inamog,<<inamo>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Neu,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Neu,Neg,inamosinog,<<inamo>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Prt,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Prt,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Prt,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Prt,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Dub,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Dub,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Dub,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Dub,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,DubPrt,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,DubPrt,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,DubPrt,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,DubPrt,Neg,MISSING,,
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Neu,Pos,michaanig,<<michaa>>nig,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Neu,Pos,michaag,<<michaa>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Neu,Neg,michaasininig,<<michaa>>sininig,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Neu,Neg,michaasinog,<<michaa>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Prt,Pos,michaanigiban,<<michaa>>nigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Prt,Pos,michaagiban,<<michaa>>giban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Prt,Neg,michaasininigiban,<<michaa>>sininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Prt,Neg,michaasinoogiban,<<michaa>>sinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Dub,Pos,michaanigwen,<<michaa>>nigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Dub,Pos,michaagwen,<<michaa>>gwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Dub,Neg,michaasininiigwen,<<michaa>>sininiigwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Dub,Neg,michaasinoogwen,<<michaa>>sinoogwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,DubPrt,Pos,michaanigobanen,<<michaa>>nigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,DubPrt,Pos,michaagobanen,<<michaa>>gobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,DubPrt,Neg,michaasininigobanen,<<michaa>>sininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,DubPrt,Neg,michaasinoogobanen,<<michaa>>sinoogobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Neu,Pos,zanagadinig,<<zanagad>>inig,JDN-2010-MS-VII-p14
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Neu,Pos,zanagak,<<zanaga>>k,JDN-2010-MS-VII-p14
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Neu,Neg,zanagasininig,<<zanaga>>sininig,JDN-2010-MS-VII-p15
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Neu,Neg,zanagasinog,<<zanaga>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Prt,Pos,zanagadinigiban,<<zanagad>>inigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Prt,Pos,zanagakiban,<<zanaga>>kiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Prt,Neg,zanagasininigiban,<<zanaga>>sininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Prt,Neg,zanagasinoogiban,<<zanaga>>sinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Dub,Pos,zanagadinigwen,<<zanagad>>inigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Dub,Pos,zanagadogwen,<<zanagad>>ogwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Dub,Neg,zanagasininiigwen,<<zanaga>>sininiigwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Dub,Neg,zanagasinoogwen,<<zanaga>>sinoogwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,DubPrt,Pos,zanagadinigobanen,<<zanagad>>inigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,DubPrt,Pos,zanagadogobanen,<<zanagad>>ogobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,DubPrt,Neg,zanagasininigobanen,<<zanaga>>sininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,DubPrt,Neg,zanagasinoogobanen,<<zanaga>>sinoogobanen,JDN-2010-MS-VII-p21