Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Pl,1Sg,Neu,Pos,nindigonan,nind<<>>igonan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Sg,1Sg,Neu,Pos,nindigon,nind<<>>igon,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Pl,1Sg,Neu,Pos,gidizhim,gid<<izh>>i1m,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Sg,1Sg,Neu,Pos,gidizh,gid<<izh>>i1,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlProx,1Sg,Neu,Pos,nindigoog,nind<<>>igoog,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgProx,1Sg,Neu,Pos,nindig,nind<<>>ig,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,1Sg,Neu,Pos,nindigoo,nind<<>>igoo,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Pl,2Pl,Neu,Pos,gidigonaawaan,gid<<>>igonaawaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Sg,2Pl,Neu,Pos,gidigonaawaa,gid<<>>igonaawaa,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,1Sg,2Pl,Neu,Pos,gidinininim,gid<<in>>ininim,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlProx,2Pl,Neu,Pos,gidigowaag,gid<<>>igowaag,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgProx,2Pl,Neu,Pos,gidigowaa,gid<<>>igowaa,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Excl,2Pl,Neu,Pos,gidigoom,gid<<>>igoom,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,2Pl,Neu,Pos,gidigoom,gid<<>>igoom,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Pl,2Sg,Neu,Pos,gidigonan,gid<<>>igonan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Sg,2Sg,Neu,Pos,gidigon,gid<<>>igon,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,1Sg,2Sg,Neu,Pos,gidinin,gid<<in>>in,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlProx,2Sg,Neu,Pos,gidigoog,gid<<>>igoog,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgProx,2Sg,Neu,Pos,gidig,gid<<>>ig,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Excl,2Sg,Neu,Pos,gidigoo,gid<<>>igoo,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,2Sg,Neu,Pos,gidigoo,gid<<>>igoo,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,1Sg,3PlObv,Neu,Pos,nindinimaa',nind<<in>>imaa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Pl,3PlObv,Neu,Pos,gidinimaawaa',gid<<in>>imaawaa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Sg,3PlObv,Neu,Pos,gidinimaa',gid<<in>>imaa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlProx,3PlObv,Neu,Pos,odinaawaa',od<<in>>aawaa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgProx,3PlObv,Neu,Pos,odinaa',od<<in>>aa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Excl,3PlObv,Neu,Pos,nindinimaanaa',nind<<in>>imaanaa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Incl,3PlObv,Neu,Pos,gidinimaanaa',gid<<in>>imaanaa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,3PlObv,Neu,Pos,inimaawa',<<in>>imaawa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Pl,3PlProx,Neu,Pos,odigonaawaan,od<<>>igonaawaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Sg,3PlProx,Neu,Pos,odigonaawaan,od<<>>igonaawaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,1Sg,3PlProx,Neu,Pos,nindinaag,nind<<in>>aag,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Pl,3PlProx,Neu,Pos,gidinaawaag,gid<<in>>aawaag,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Sg,3PlProx,Neu,Pos,gidinaag,gid<<in>>aag,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlObv,3PlProx,Neu,Pos,odigowaa',od<<>>igowaa',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgObv,3PlProx,Neu,Pos,odigowaan,od<<>>igowaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Excl,3PlProx,Neu,Pos,nindinaanaanig,nind<<in>>aanaanig,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Incl,3PlProx,Neu,Pos,gidinaanaanig,gid<<in>>aanaanig,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,3PlProx,Neu,Pos,inaawag,<<in>>aawag,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,1Sg,3SgObv,Neu,Pos,nindinimaan,nind<<in>>imaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Pl,3SgObv,Neu,Pos,gidinimaawaan,gid<<in>>imaawaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Sg,3SgObv,Neu,Pos,gidinimaan,gid<<in>>imaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlProx,3SgObv,Neu,Pos,odinaawaan,od<<in>>aawaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgProx,3SgObv,Neu,Pos,odinaan,od<<in>>aan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Excl,3SgObv,Neu,Pos,nindinimaanaan,nind<<in>>imaanaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Incl,3SgObv,Neu,Pos,gidinimaanaan,gid<<in>>imaanaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,3SgObv,Neu,Pos,inimaawan,<<in>>imaawan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Pl,3SgObv/3PlObv,Neu,Pos,odigonini,od<<>>igonini,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Sg,3SgObv/3PlObv,Neu,Pos,odigonini,od<<>>igonini,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Pl,3SgProx,Neu,Pos,odigonan,od<<>>igonan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Sg,3SgProx,Neu,Pos,odigon,od<<>>igon,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,1Sg,3SgProx,Neu,Pos,nindinaa,nind<<in>>aa,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Pl,3SgProx,Neu,Pos,gidinaawaa,gid<<in>>aawaa,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Sg,3SgProx,Neu,Pos,gidinaa,gid<<in>>aa,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlObv,3SgProx,Neu,Pos,odigoo',od<<>>igoo',GUESS,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgObv,3SgProx,Neu,Pos,odigoon,od<<>>igoon,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Excl,3SgProx,Neu,Pos,nindinaanaan,nind<<in>>aanaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,Incl,3SgProx,Neu,Pos,gidinaanaan,gid<<in>>aanaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,3SgProx,Neu,Pos,inaa,<<in>>aa,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Pl,Excl,Neu,Pos,nindigomin,nind<<>>igomin,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Sg,Excl,Neu,Pos,nindigomin,nind<<>>igomin,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Pl,Excl,Neu,Pos,gidizhimin,gid<<izh>>i1min,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,2Sg,Excl,Neu,Pos,gidizhimin,gid<<izh>>i1min,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlProx,Excl,Neu,Pos,nindigonaanig,nind<<>>igonaanig,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgProx,Excl,Neu,Pos,nindigonaan,nind<<>>igonaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,Excl,Neu,Pos,nindigoomin,nind<<>>igoomin,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Pl,Incl,Neu,Pos,gidigomin,gid<<>>igomin,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,0Sg,Incl,Neu,Pos,gidigomin,gid<<>>igomin,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3PlProx,Incl,Neu,Pos,gidigonaanig,gid<<>>igonaanig,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,3SgProx,Incl,Neu,Pos,gidigonaan,gid<<>>igonaan,JRV-Web-ANISH,,,,,,,
VTA,Ind,VTA_irr,izhi,in,X,Incl,Neu,Pos,gidigoomin,gid<<>>igoomin,JRV-Web-ANISH,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,